"Plot Title: qixiangyuan"
"#","Date Time, GMT+08:00","Temp, °F","rain, mm","Coupler Attached","Host Connected","End Of File"
41,04/19/16 下午12时00分00秒,62.254,,,,
42,04/19/16 下午12时30分00秒,61.227,,,,
43,04/19/16 下午01时00分00秒,63.282,,,,
44,04/19/16 下午01时30分00秒,64.481,,,,
45,04/19/16 下午02时00分00秒,64.996,,,,
46,04/19/16 下午02时30分00秒,65.851,,,,
47,04/19/16 下午03时00分00秒,64.310,,,,
48,04/19/16 下午03时30分00秒,62.425,,,,
49,04/19/16 下午04时00分00秒,61.569,,,,
50,04/19/16 下午04时30分00秒,60.368,,,,
51,04/19/16 下午05时00分00秒,60.539,,,,
52,04/19/16 下午05时30分00秒,60.024,,,,
53,04/19/16 下午06时00分00秒,59.680,,,,
54,04/19/16 下午06时30分00秒,58.820,,,,
55,04/19/16 下午07时00分00秒,57.785,,,,
56,04/19/16 下午07时30分00秒,56.230,,,,
57,04/19/16 下午08时00分00秒,55.189,,,,
58,04/19/16 下午08时30分00秒,54.495,,,,
59,04/19/16 下午09时00分00秒,53.449,,,,
60,04/19/16 下午09时30分00秒,52.925,,,,
61,04/19/16 下午10时00分00秒,51.699,,,,
62,04/19/16 下午10时30分00秒,50.995,,,,
63,04/19/16 下午11时00分00秒,50.643,,,,
64,04/19/16 下午11时30分00秒,49.759,,,,
65,04/20/16 上午12时00分00秒,48.339,,,,
66,04/20/16 上午12时30分00秒,48.160,,,,
67,04/20/16 上午01时00分00秒,47.446,,,,
68,04/20/16 上午01时30分00秒,47.088,,,,
69,04/20/16 上午02时00分00秒,46.188,,,,
70,04/20/16 上午02时30分00秒,45.466,,,,
71,04/20/16 上午03时00分00秒,44.013,,,,
72,04/20/16 上午03时30分00秒,42.915,,,,
73,04/20/16 上午04时00分00秒,41.810,,,,
74,04/20/16 上午04时30分00秒,41.439,,,,
75,04/20/16 上午05时00分00秒,40.509,,,,
76,04/20/16 上午05时30分00秒,39.760,,,,
77,04/20/16 上午06时00分00秒,38.818,,,,
78,04/20/16 上午06时30分00秒,38.250,,,,
79,04/20/16 上午07时00分00秒,37.870,,,,
80,04/20/16 上午07时30分00秒,38.440,,,,
81,04/20/16 上午08时00分00秒,41.254,,,,
82,04/20/16 上午08时30分00秒,43.648,,,,
83,04/20/16 上午09时00分00秒,46.369,,,,
84,04/20/16 上午09时30分00秒,49.582,,,,
85,04/20/16 上午10时00分00秒,52.925,,,,
86,04/20/16 上午10时30分00秒,56.750,,,,
87,04/20/16 上午11时00分00秒,58.820,,,,
88,04/20/16 上午11时30分00秒,61.054,,,,
89,04/20/16 下午12时00分00秒,61.398,,,,
90,04/20/16 下午12时30分00秒,63.282,,,,
91,04/20/16 下午01时00分00秒,65.167,,,,
92,04/20/16 下午01时30分00秒,65.851,,,,
93,04/20/16 下午02时00分00秒,65.167,,,,
94,04/20/16 下午02时30分00秒,66.879,,,,
95,04/20/16 下午03时00分00秒,67.392,,,,
96,04/20/16 下午03时30分00秒,67.050,,,,
97,04/20/16 下午04时00分00秒,66.879,,,,
98,04/20/16 下午04时30分00秒,67.221,,,,
99,04/20/16 下午05时00分00秒,64.139,,,,
100,04/20/16 下午05时30分00秒,65.338,,,,
101,04/20/16 下午06时00分00秒,64.996,,,,
102,04/20/16 下午06时30分00秒,63.455,,,,
103,04/20/16 下午07时00分00秒,62.254,,,,
104,04/20/16 下午07时30分00秒,60.368,,,,
105,04/20/16 下午08时00分00秒,59.508,,,,
106,04/20/16 下午08时30分00秒,58.820,,,,
107,04/20/16 下午09时00分00秒,58.993,,,,
108,04/20/16 下午09时30分00秒,58.993,,,,
109,04/20/16 下午10时00分00秒,58.476,,,,
110,04/20/16 下午10时30分00秒,56.577,,,,
111,04/20/16 下午11时00分00秒,55.364,,,,
112,04/20/16 下午11时30分00秒,53.973,,,,
113,04/21/16 上午12时00分00秒,53.274,,,,
114,04/21/16 上午12时30分00秒,52.576,,,,
115,04/21/16 上午01时00分00秒,51.346,,,,
116,04/21/16 上午01时30分00秒,50.819,,,,
117,04/21/16 上午02时00分00秒,48.871,,,,
118,04/21/16 上午02时30分00秒,47.624,,,,
119,04/21/16 上午03时00分00秒,47.088,,,,
120,04/21/16 上午03时30分00秒,46.188,,,,
121,04/21/16 上午04时00分00秒,45.648,,,,
122,04/21/16 上午04时30分00秒,45.104,,,,
123,04/21/16 上午05时00分00秒,44.379,,,,
124,04/21/16 上午05时30分00秒,43.648,,,,
125,04/21/16 上午06时00分00秒,43.099,,,,
126,04/21/16 上午06时30分00秒,42.548,,,,
127,04/21/16 上午07时00分00秒,42.548,,,,
128,04/21/16 上午07时30分00秒,42.732,,,,
129,04/21/16 上午08时00分00秒,43.831,,,,
130,04/21/16 上午08时30分00秒,46.188,,,,
131,04/21/16 上午09时00分00秒,48.695,,,,
132,04/21/16 上午09时30分00秒,51.523,,,,
133,04/21/16 上午10时00分00秒,54.669,,,,
134,04/21/16 上午10时30分00秒,59.508,,,,
135,04/21/16 上午11时00分00秒,60.195,,,,
136,04/21/16 上午11时30分00秒,60.368,,,,
137,04/21/16 下午12时00分00秒,62.598,,,,
138,04/21/16 下午12时30分00秒,62.769,,,,
139,04/21/16 下午01时00分00秒,62.598,,,,
140,04/21/16 下午01时30分00秒,63.968,,,,
141,04/21/16 下午02时00分00秒,63.282,,,,
142,04/21/16 下午02时30分00秒,64.825,,,,
143,04/21/16 下午03时00分00秒,66.366,,,,
144,04/21/16 下午03时30分00秒,66.366,,,,
145,04/21/16 下午04时00分00秒,67.221,,,,
146,04/21/16 下午04时30分00秒,66.022,,,,
147,04/21/16 下午05时00分00秒,64.996,,,,
148,04/21/16 下午05时30分00秒,64.310,,,,
149,04/21/16 下午06时00分00秒,64.310,,,,
150,04/21/16 下午06时30分00秒,63.968,,,,
151,04/21/16 下午07时00分00秒,61.741,,,,
152,04/21/16 下午07时30分00秒,60.195,,,,
153,04/21/16 下午08时00分00秒,59.337,,,,
154,04/21/16 下午08时30分00秒,58.131,,,,
155,04/21/16 下午09时00分00秒,56.577,,,,
156,04/21/16 下午09时30分00秒,55.537,,,,
157,04/21/16 下午10时00分00秒,53.973,,,,
158,04/21/16 下午10时30分00秒,52.925,,,,
159,04/21/16 下午11时00分00秒,52.050,,,,
160,04/21/16 下午11时30分00秒,51.874,,,,
161,04/22/16 上午12时00分00秒,50.290,,,,
162,04/22/16 上午12时30分00秒,49.050,,,,
163,04/22/16 上午01时00分00秒,49.050,,,,
164,04/22/16 上午01时30分00秒,50.466,,,,
165,04/22/16 上午02时00分00秒,49.404,,,,
166,04/22/16 上午02时30分00秒,48.871,,,,
167,04/22/16 上午03时00分00秒,48.339,,,,
168,04/22/16 上午03时30分00秒,46.908,,,,
169,04/22/16 上午04时00分00秒,44.560,,,,
170,04/22/16 上午04时30分00秒,44.379,,,,
171,04/22/16 上午05时00分00秒,44.379,,,,
172,04/22/16 上午05时30分00秒,44.560,,,,
173,04/22/16 上午06时00分00秒,44.013,,,,
174,04/22/16 上午06时30分00秒,43.282,,,,
175,04/22/16 上午07时00分00秒,44.013,,,,
176,04/22/16 上午07时30分00秒,45.466,,,,
177,04/22/16 上午08时00分00秒,46.008,,,,
178,04/22/16 上午08时30分00秒,47.446,,,,
179,04/22/16 上午09时00分00秒,49.228,,,,
180,04/22/16 上午09时30分00秒,51.172,,,,
181,04/22/16 上午10时00分00秒,53.274,,,,
182,04/22/16 上午10时30分00秒,54.842,,,,
183,04/22/16 上午11时00分00秒,56.230,,,,
184,04/22/16 上午11时30分00秒,57.614,,,,
185,04/22/16 下午12时00分00秒,58.647,,,,
186,04/22/16 下午12时30分00秒,59.508,,,,
187,04/22/16 下午01时00分00秒,60.539,,,,
188,04/22/16 下午01时30分00秒,57.614,,,,
189,04/22/16 下午02时00分00秒,59.680,,,,
190,04/22/16 下午02时30分00秒,58.647,,,,
191,04/22/16 下午03时00分00秒,59.164,,,,
192,04/22/16 下午03时30分00秒,60.368,,,,
193,04/22/16 下午04时00分00秒,58.820,,,,
194,04/22/16 下午04时30分00秒,58.476,,,,
195,04/22/16 下午05时00分00秒,57.614,,,,
196,04/22/16 下午05时30分00秒,58.647,,,,
197,04/22/16 下午06时00分00秒,56.923,,,,
198,04/22/16 下午06时30分00秒,56.577,,,,
199,04/22/16 下午07时00分00秒,56.404,,,,
200,04/22/16 下午07时30分00秒,55.711,,,,
201,04/22/16 下午08时00分00秒,55.364,,,,
202,04/22/16 下午08时30分00秒,54.495,,,,
203,04/22/16 下午09时00分00秒,53.623,,,,
204,04/22/16 下午09时30分00秒,51.523,,,,
205,04/22/16 下午10时00分00秒,50.819,,,,
206,04/22/16 下午10时30分00秒,49.937,,,,
207,04/22/16 下午11时00分00秒,50.290,,,,
208,04/22/16 下午11时30分00秒,48.695,,,,
209,04/23/16 上午12时00分00秒,48.160,,,,
210,04/23/16 上午12时30分00秒,48.695,,,,
211,04/23/16 上午01时00分00秒,48.160,,,,
212,04/23/16 上午01时30分00秒,47.802,,,,
213,04/23/16 上午02时00分00秒,47.446,,,,
214,04/23/16 上午02时30分00秒,46.728,,,,
215,04/23/16 上午03时00分00秒,46.008,,,,
216,04/23/16 上午03时30分00秒,48.160,,,,
217,04/23/16 上午04时00分00秒,47.624,,,,
218,04/23/16 上午04时30分00秒,46.728,,,,
219,04/23/16 上午05时00分00秒,46.548,,,,
220,04/23/16 上午05时30分00秒,46.188,,,,
221,04/23/16 上午06时00分00秒,46.008,,,,
222,04/23/16 上午06时30分00秒,46.188,,,,
223,04/23/16 上午07时00分00秒,44.560,,,,
224,04/23/16 上午07时30分00秒,44.379,,,,
225,04/23/16 上午08时00分00秒,44.379,,,,
226,04/23/16 上午08时16分35秒,,0.2,,,
227,04/23/16 上午08时30分00秒,45.828,,,,
228,04/23/16 上午09时00分00秒,47.802,,,,
229,04/23/16 上午09时30分00秒,49.759,,,,
230,04/23/16 上午10时00分00秒,50.643,,,,
231,04/23/16 上午10时30分00秒,54.147,,,,
232,04/23/16 上午11时00分00秒,55.537,,,,
233,04/23/16 上午11时30分00秒,55.189,,,,
234,04/23/16 下午12时00分00秒,56.404,,,,
235,04/23/16 下午12时30分00秒,58.476,,,,
236,04/23/16 下午01时00分00秒,60.195,,,,
237,04/23/16 下午01时30分00秒,57.614,,,,
238,04/23/16 下午02时00分00秒,60.368,,,,
239,04/23/16 下午02时30分00秒,57.096,,,,
240,04/23/16 下午03时00分00秒,58.476,,,,
241,04/23/16 下午03时30分00秒,62.254,,,,
242,04/23/16 下午04时00分00秒,60.024,,,,
243,04/23/16 下午04时30分00秒,61.398,,,,
244,04/23/16 下午05时00分00秒,59.164,,,,
245,04/23/16 下午05时30分00秒,59.164,,,,
246,04/23/16 下午06时00分00秒,58.476,,,,
247,04/23/16 下午06时30分00秒,57.785,,,,
248,04/23/16 下午07时00分00秒,57.958,,,,
249,04/23/16 下午07时30分00秒,56.404,,,,
250,04/23/16 下午08时00分00秒,54.147,,,,
251,04/23/16 下午08时30分00秒,54.495,,,,
252,04/23/16 下午09时00分00秒,54.322,,,,
253,04/23/16 下午09时30分00秒,53.449,,,,
254,04/23/16 下午10时00分00秒,52.050,,,,
255,04/23/16 下午10时30分00秒,50.995,,,,
256,04/23/16 下午11时00分00秒,50.113,,,,
257,04/23/16 下午11时30分00秒,47.982,,,,
258,04/24/16 上午12时00分00秒,47.446,,,,
259,04/24/16 上午12时30分00秒,47.446,,,,
260,04/24/16 上午01时00分00秒,47.088,,,,
261,04/24/16 上午01时30分00秒,47.266,,,,
262,04/24/16 上午02时00分00秒,45.648,,,,
263,04/24/16 上午02时30分00秒,44.922,,,,
264,04/24/16 上午03时00分00秒,44.195,,,,
265,04/24/16 上午03时30分00秒,42.548,,,,
266,04/24/16 上午04时00分00秒,43.282,,,,
267,04/24/16 上午04时30分00秒,42.363,,,,
268,04/24/16 上午05时00分00秒,41.994,,,,
269,04/24/16 上午05时30分00秒,42.363,,,,
270,04/24/16 上午06时00分00秒,41.439,,,,
271,04/24/16 上午06时30分00秒,40.321,,,,
272,04/24/16 上午07时00分00秒,40.134,,,,
273,04/24/16 上午07时30分00秒,40.881,,,,
274,04/24/16 上午08时00分00秒,45.828,,,,
275,04/24/16 上午08时30分00秒,47.266,,,,
276,04/24/16 上午09时00分00秒,49.582,,,,
277,04/24/16 上午09时30分00秒,51.523,,,,
278,04/24/16 上午10时00分00秒,55.017,,,,
279,04/24/16 上午10时30分00秒,56.404,,,,
280,04/24/16 上午11时00分00秒,60.195,,,,
281,04/24/16 上午11时30分00秒,61.569,,,,
282,04/24/16 下午12时00分00秒,63.282,,,,
283,04/24/16 下午12时30分00秒,64.652,,,,
284,04/24/16 下午01时00分00秒,64.652,,,,
285,04/24/16 下午01时30分00秒,63.111,,,,
286,04/24/16 下午02时00分00秒,64.825,,,,
287,04/24/16 下午02时30分00秒,63.111,,,,
288,04/24/16 下午03时00分00秒,60.883,,,,
289,04/24/16 下午03时30分00秒,60.883,,,,
290,04/24/16 下午04时00分00秒,64.481,,,,
291,04/24/16 下午04时30分00秒,64.481,,,,
292,04/24/16 下午05时00分00秒,63.626,,,,
293,04/24/16 下午05时30分00秒,64.310,,,,
294,04/24/16 下午06时00分00秒,63.626,,,,
295,04/24/16 下午06时30分00秒,62.254,,,,
296,04/24/16 下午07时00分00秒,61.398,,,,
297,04/24/16 下午07时30分00秒,59.164,,,,
298,04/24/16 下午08时00分00秒,57.441,,,,
299,04/24/16 下午08时30分00秒,56.057,,,,
300,04/24/16 下午09时00分00秒,55.189,,,,
301,04/24/16 下午09时30分00秒,54.322,,,,
302,04/24/16 下午10时00分00秒,53.274,,,,
303,04/24/16 下午10时30分00秒,52.401,,,,
304,04/24/16 下午11时00分00秒,51.523,,,,
305,04/24/16 下午11时30分00秒,50.995,,,,
306,04/25/16 上午12时00分00秒,50.290,,,,
307,04/25/16 上午12时30分00秒,49.582,,,,
308,04/25/16 上午01时00分00秒,48.339,,,,
309,04/25/16 上午01时30分00秒,48.517,,,,
310,04/25/16 上午02时00分00秒,47.802,,,,
311,04/25/16 上午02时30分00秒,47.266,,,,
312,04/25/16 上午03时00分00秒,47.088,,,,
313,04/25/16 上午03时30分00秒,46.728,,,,
314,04/25/16 上午04时00分00秒,46.008,,,,
315,04/25/16 上午04时30分00秒,45.648,,,,
316,04/25/16 上午05时00分00秒,45.466,,,,
317,04/25/16 上午05时30分00秒,45.286,,,,
318,04/25/16 上午06时00分00秒,45.104,,,,
319,04/25/16 上午06时30分00秒,45.466,,,,
320,04/25/16 上午07时00分00秒,46.008,,,,
321,04/25/16 上午07时30分00秒,47.446,,,,
322,04/25/16 上午08时00分00秒,49.050,,,,
323,04/25/16 上午08时30分00秒,49.050,,,,
324,04/25/16 上午09时00分00秒,50.643,,,,
325,04/25/16 上午09时30分00秒,50.819,,,,
326,04/25/16 上午10时00分00秒,52.576,,,,
327,04/25/16 上午10时30分00秒,53.274,,,,
328,04/25/16 上午11时00分00秒,56.577,,,,
329,04/25/16 上午11时30分00秒,57.441,,,,
330,04/25/16 下午12时00分00秒,58.131,,,,
331,04/25/16 下午12时30分00秒,60.712,,,,
332,04/25/16 下午01时00分00秒,59.680,,,,
333,04/25/16 下午01时30分00秒,61.398,,,,
334,04/25/16 下午02时00分00秒,65.167,,,,
335,04/25/16 下午02时30分00秒,63.797,,,,
336,04/25/16 下午03时00分00秒,65.338,,,,
337,04/25/16 下午03时30分00秒,63.626,,,,
338,04/25/16 下午04时00分00秒,61.054,,,,
339,04/25/16 下午04时30分00秒,57.614,,,,
340,04/25/16 下午05时00分00秒,59.851,,,,
341,04/25/16 下午05时30分00秒,58.993,,,,
342,04/25/16 下午06时00分00秒,60.024,,,,
343,04/25/16 下午06时30分00秒,57.785,,,,
344,04/25/16 下午07时00分00秒,56.923,,,,
345,04/25/16 下午07时30分00秒,56.057,,,,
346,04/25/16 下午08时00分00秒,55.189,,,,
347,04/25/16 下午08时30分00秒,53.798,,,,
348,04/25/16 下午09时00分00秒,53.623,,,,
349,04/25/16 下午09时30分00秒,54.495,,,,
350,04/25/16 下午10时00分00秒,54.147,,,,
351,04/25/16 下午10时30分00秒,53.798,,,,
352,04/25/16 下午11时00分00秒,53.449,,,,
353,04/25/16 下午11时30分00秒,52.576,,,,
354,04/26/16 上午12时00分00秒,51.699,,,,
355,04/26/16 上午12时30分00秒,50.466,,,,
356,04/26/16 上午01时00分00秒,49.937,,,,
357,04/26/16 上午01时30分00秒,48.871,,,,
358,04/26/16 上午02时00分00秒,48.339,,,,
359,04/26/16 上午02时30分00秒,47.802,,,,
360,04/26/16 上午03时00分00秒,47.446,,,,
361,04/26/16 上午03时30分00秒,46.548,,,,
362,04/26/16 上午04时00分00秒,46.008,,,,
363,04/26/16 上午04时30分00秒,45.286,,,,
364,04/26/16 上午05时00分00秒,46.908,,,,
365,04/26/16 上午05时30分00秒,47.088,,,,
366,04/26/16 上午06时00分00秒,46.188,,,,
367,04/26/16 上午06时30分00秒,46.008,,,,
368,04/26/16 上午07时00分00秒,45.466,,,,
369,04/26/16 上午07时30分00秒,46.369,,,,
370,04/26/16 上午08时00分00秒,47.266,,,,
371,04/26/16 上午08时30分00秒,47.982,,,,
372,04/26/16 上午09时00分00秒,48.517,,,,
373,04/26/16 上午09时30分00秒,48.871,,,,
374,04/26/16 上午10时00分00秒,49.404,,,,
375,04/26/16 上午10时30分00秒,50.113,,,,
376,04/26/16 上午11时00分00秒,50.113,,,,
377,04/26/16 上午11时30分00秒,49.937,,,,
378,04/26/16 下午12时00分00秒,50.113,,,,
379,04/26/16 下午12时30分00秒,49.937,,,,
380,04/26/16 下午01时00分00秒,48.339,,,,
381,04/26/16 下午01时14分29秒,,0.4,,,
382,04/26/16 下午01时30分00秒,47.624,,,,
383,04/26/16 下午01时32分26秒,,0.6,,,
384,04/26/16 下午02时00分00秒,46.548,,,,
385,04/26/16 下午02时30分00秒,47.088,,,,
386,04/26/16 下午03时00分00秒,46.548,,,,
387,04/26/16 下午03时30分00秒,46.548,,,,
388,04/26/16 下午03时34分31秒,,0.8,,,
389,04/26/16 下午04时00分00秒,47.982,,,,
390,04/26/16 下午04时30分00秒,47.088,,,,
391,04/26/16 下午05时00分00秒,47.802,,,,
392,04/26/16 下午05时30分00秒,49.937,,,,
393,04/26/16 下午06时00分00秒,51.346,,,,
394,04/26/16 下午06时30分00秒,50.819,,,,
395,04/26/16 下午07时00分00秒,50.995,,,,
396,04/26/16 下午07时30分00秒,50.466,,,,
397,04/26/16 下午08时00分00秒,47.982,,,,
398,04/26/16 下午08时30分00秒,46.548,,,,
399,04/26/16 下午09时00分00秒,45.466,,,,
400,04/26/16 下午09时30分00秒,44.013,,,,
401,04/26/16 下午10时00分00秒,43.099,,,,
402,04/26/16 下午10时30分00秒,42.548,,,,
403,04/26/16 下午11时00分00秒,41.994,,,,
404,04/26/16 下午11时30分00秒,41.439,,,,
405,04/27/16 上午12时00分00秒,40.696,,,,
406,04/27/16 上午12时30分00秒,39.947,,,,
407,04/27/16 上午01时00分00秒,39.196,,,,
408,04/27/16 上午01时30分00秒,38.061,,,,
409,04/27/16 上午02时00分00秒,37.488,,,,
410,04/27/16 上午02时30分00秒,36.145,,,,
411,04/27/16 上午03时00分00秒,35.370,,,,
412,04/27/16 上午03时30分00秒,34.786,,,,
413,04/27/16 上午04时00分00秒,34.786,,,,
414,04/27/16 上午04时30分00秒,34.786,,,,
415,04/27/16 上午05时00分00秒,34.198,,,,
416,04/27/16 上午05时30分00秒,34.002,,,,
417,04/27/16 上午06时00分00秒,33.411,,,,
418,04/27/16 上午06时30分00秒,32.617,,,,
419,04/27/16 上午07时00分00秒,32.418,,,,
420,04/27/16 上午07时30分00秒,33.607,,,,
421,04/27/16 上午08时00分00秒,36.914,,,,
422,04/27/16 上午08时30分00秒,38.250,,,,
423,04/27/16 上午09时00分00秒,41.625,,,,
424,04/27/16 上午09时30分00秒,46.548,,,,
425,04/27/16 上午10时00分00秒,50.819,,,,
426,04/27/16 上午10时30分00秒,54.669,,,,
427,04/27/16 上午11时00分00秒,57.614,,,,
428,04/27/16 上午11时30分00秒,60.195,,,,
429,04/27/16 下午12时00分00秒,61.398,,,,
430,04/27/16 下午12时30分00秒,63.968,,,,
431,04/27/16 下午01时00分00秒,64.825,,,,
432,04/27/16 下午01时30分00秒,66.193,,,,
433,04/27/16 下午02时00分00秒,67.221,,,,
434,04/27/16 下午02时30分00秒,68.421,,,,
435,04/27/16 下午03时00分00秒,68.592,,,,
436,04/27/16 下午03时30分00秒,69.449,,,,
437,04/27/16 下午04时00分00秒,69.278,,,,
438,04/27/16 下午04时30分00秒,70.824,,,,
439,04/27/16 下午05时00分00秒,70.651,,,,
440,04/27/16 下午05时30分00秒,70.137,,,,
441,04/27/16 下午06时00分00秒,67.221,,,,
442,04/27/16 下午06时30分00秒,67.050,,,,
443,04/27/16 下午07时00分00秒,64.310,,,,
444,04/27/16 下午07时30分00秒,62.254,,,,
445,04/27/16 下午08时00分00秒,59.508,,,,
446,04/27/16 下午08时30分00秒,58.476,,,,
447,04/27/16 下午09时00分00秒,58.303,,,,
448,04/27/16 下午09时30分00秒,57.096,,,,
449,04/27/16 下午10时00分00秒,56.057,,,,
450,04/27/16 下午10时30分00秒,55.537,,,,
451,04/27/16 下午11时00分00秒,53.798,,,,
452,04/27/16 下午11时30分00秒,52.401,,,,
453,04/28/16 上午12时00分00秒,49.937,,,,
454,04/28/16 上午12时30分00秒,48.695,,,,
455,04/28/16 上午01时00分00秒,46.369,,,,
456,04/28/16 上午01时30分00秒,44.922,,,,
457,04/28/16 上午02时00分00秒,44.379,,,,
458,04/28/16 上午02时30分00秒,42.915,,,,
459,04/28/16 上午03时00分00秒,41.810,,,,
460,04/28/16 上午03时30分00秒,40.509,,,,
461,04/28/16 上午04时00分00秒,39.947,,,,
462,04/28/16 上午04时30分00秒,39.760,,,,
463,04/28/16 上午05时00分00秒,39.007,,,,
464,04/28/16 上午05时30分00秒,38.629,,,,
465,04/28/16 上午06时00分00秒,37.679,,,,
466,04/28/16 上午06时30分00秒,37.107,,,,
467,04/28/16 上午07时00分00秒,37.297,,,,
468,04/28/16 上午07时30分00秒,39.573,,,,
469,04/28/16 上午08时00分00秒,42.915,,,,
470,04/28/16 上午08时30分00秒,47.982,,,,
471,04/28/16 上午09时00分00秒,53.798,,,,
472,04/28/16 上午09时30分00秒,57.614,,,,
473,04/28/16 上午10时00分00秒,61.912,,,,
474,04/28/16 上午10时30分00秒,64.652,,,,
475,04/28/16 上午11时00分00秒,67.050,,,,
476,04/28/16 上午11时30分00秒,68.592,,,,
477,04/28/16 下午12时00分00秒,70.651,,,,
478,04/28/16 下午12时30分00秒,72.372,,,,
479,04/28/16 下午01时00分00秒,73.580,,,,
480,04/28/16 下午01时30分00秒,74.619,,,,
481,04/28/16 下午02时00分00秒,75.139,,,,
482,04/28/16 下午02时30分00秒,74.098,,,,
483,04/28/16 下午03时00分00秒,75.832,,,,
484,04/28/16 下午03时30分00秒,75.312,,,,
485,04/28/16 下午04时00分00秒,74.098,,,,
486,04/28/16 下午04时30分00秒,74.098,,,,
487,04/28/16 下午05时00分00秒,73.234,,,,
488,04/28/16 下午05时30分00秒,71.512,,,,
489,04/28/16 下午06时00分00秒,70.137,,,,
490,04/28/16 下午06时30分00秒,68.592,,,,
491,04/28/16 下午07时00分00秒,66.708,,,,
492,04/28/16 下午07时30分00秒,65.851,,,,
493,04/28/16 下午08时00分00秒,65.338,,,,
494,04/28/16 下午08时30分00秒,64.652,,,,
495,04/28/16 下午09时00分00秒,62.598,,,,
496,04/28/16 下午09时30分00秒,61.569,,,,
497,04/28/16 下午10时00分00秒,61.054,,,,
498,04/28/16 下午10时30分00秒,59.508,,,,
499,04/28/16 下午11时00分00秒,58.131,,,,
500,04/28/16 下午11时30分00秒,56.577,,,,
501,04/29/16 上午12时00分00秒,55.189,,,,
502,04/29/16 上午12时30分00秒,54.147,,,,
503,04/29/16 上午01时00分00秒,53.623,,,,
504,04/29/16 上午01时30分00秒,53.100,,,,
505,04/29/16 上午02时00分00秒,52.050,,,,
506,04/29/16 上午02时30分00秒,52.225,,,,
507,04/29/16 上午03时00分00秒,50.466,,,,
508,04/29/16 上午03时30分00秒,50.290,,,,
509,04/29/16 上午04时00分00秒,50.466,,,,
510,04/29/16 上午04时30分00秒,51.699,,,,
511,04/29/16 上午05时00分00秒,50.819,,,,
512,04/29/16 上午05时30分00秒,50.995,,,,
513,04/29/16 上午06时00分00秒,49.937,,,,
514,04/29/16 上午06时30分00秒,47.266,,,,
515,04/29/16 上午07时00分00秒,45.286,,,,
516,04/29/16 上午07时30分00秒,46.008,,,,
517,04/29/16 上午08时00分00秒,50.113,,,,
518,04/29/16 上午08时30分00秒,54.322,,,,
519,04/29/16 上午09时00分00秒,56.577,,,,
520,04/29/16 上午09时30分00秒,58.993,,,,
521,04/29/16 上午10时00分00秒,62.083,,,,
522,04/29/16 上午10时30分00秒,64.996,,,,
523,04/29/16 上午11时00分00秒,68.248,,,,
524,04/29/16 上午11时30分00秒,69.793,,,,
525,04/29/16 下午12时00分00秒,71.168,,,,
526,04/29/16 下午12时30分00秒,72.028,,,,
527,04/29/16 下午01时00分00秒,73.753,,,,
528,04/29/16 下午01时30分00秒,74.964,,,,
529,04/29/16 下午02时00分00秒,74.791,,,,
530,04/29/16 下午02时30分00秒,77.225,,,,
531,04/29/16 下午03时00分00秒,76.354,,,,
532,04/29/16 下午03时30分00秒,77.400,,,,
533,04/29/16 下午04时00分00秒,75.832,,,,
