Plot Title: 16#,,,,,,
#,"Date Time, GMT+08:00","Water Content, m?/m? (20)","Water Content, m?/m? (40)","Water Content, m?/m? (60)","Water Content, m?/m? (80)","Water Content, m?/m? (100)"
189,04/21/13 23时04分10秒,0.102,0.1049,0.115,1.2437,0.0751
190,04/21/13 23时14分10秒,0.102,0.1049,0.1143,1.2285,0.0758
191,04/21/13 23时24分10秒,0.102,0.1049,0.1143,1.2249,0.0751
192,04/21/13 23时34分10秒,0.102,0.1049,0.115,1.1479,0.0758
193,04/21/13 23时44分10秒,0.102,0.1049,0.115,1.121,0.0751
194,04/21/13 23时54分10秒,0.102,0.1049,0.115,1.1094,0.0751
195,04/22/13 00时04分10秒,0.102,0.1049,0.115,1.1275,0.0758
196,04/22/13 00时14分10秒,0.102,0.1049,0.1143,1.1922,0.0751
197,04/22/13 00时24分10秒,0.102,0.1049,0.115,1.2278,0.0751
198,04/22/13 00时34分10秒,0.102,0.1049,0.115,1.1551,0.0751
199,04/22/13 00时44分10秒,0.102,0.1049,0.115,1.1406,0.0758
200,04/22/13 00时54分10秒,0.102,0.1049,0.1143,1.166,0.0751
201,04/22/13 01时04分10秒,0.102,0.1049,0.115,1.2982,0.0758
202,04/22/13 01时14分10秒,0.102,0.1049,0.115,1.3505,0.0751
203,04/22/13 01时24分10秒,0.102,0.1049,0.115,1.2786,0.0751
204,04/22/13 01时34分10秒,0.102,0.1049,0.115,1.3767,0.0758
205,04/22/13 01时44分10秒,0.102,0.1049,0.115,1.3955,0.0758
206,04/22/13 01时54分10秒,0.102,0.1049,0.115,1.4043,0.0758
207,04/22/13 02时04分10秒,0.102,0.1049,0.115,1.4253,0.0751
208,04/22/13 02时14分10秒,0.102,0.1049,0.115,1.3999,0.0751
209,04/22/13 02时24分10秒,0.102,0.1049,0.115,1.3847,0.0751
210,04/22/13 02时34分10秒,0.102,0.1042,0.115,1.3803,0.0751
211,04/22/13 02时44分10秒,0.102,0.1049,0.115,1.3999,0.0751
212,04/22/13 02时54分10秒,0.1012,0.1049,0.1143,1.3629,0.0751
213,04/22/13 03时04分10秒,0.102,0.1049,0.115,1.4028,0.0751
214,04/22/13 03时14分10秒,0.102,0.1049,0.115,1.3883,0.0751
215,04/22/13 03时24分10秒,0.1012,0.1049,0.115,1.3934,0.0751
216,04/22/13 03时34分10秒,0.102,0.1049,0.1143,1.3512,0.0751
217,04/22/13 03时44分10秒,0.1012,0.1049,0.115,1.3592,0.0751
218,04/22/13 03时54分10秒,0.1012,0.1049,0.1143,1.3527,0.0758
219,04/22/13 04时04分10秒,0.1012,0.1056,0.1143,1.2779,0.0758
220,04/22/13 04时14分10秒,0.1012,0.1049,0.1143,1.2517,0.0758
221,04/22/13 04时24分10秒,0.1012,0.1056,0.1143,1.2575,0.0758
222,04/22/13 04时34分10秒,0.1012,0.1056,0.1143,1.267,0.0758
223,04/22/13 04时44分10秒,0.1012,0.1049,0.115,1.2539,0.0751
224,04/22/13 04时54分10秒,0.1012,0.1049,0.115,1.2525,0.0751
225,04/22/13 05时04分10秒,0.1012,0.1049,0.115,1.2212,0.0758
226,04/22/13 05时14分10秒,0.1012,0.1049,0.115,1.2089,0.0758
227,04/22/13 05时24分10秒,0.1012,0.1049,0.115,1.2111,0.0751
228,04/22/13 05时34分10秒,0.1012,0.1049,0.1143,1.1704,0.0758
229,04/22/13 05时44分10秒,0.1012,0.1049,0.1143,1.1675,0.0758
230,04/22/13 05时54分10秒,0.1012,0.1049,0.1143,1.1573,0.0758
231,04/22/13 06时04分10秒,0.1012,0.1056,0.1143,1.1602,0.0758
232,04/22/13 06时14分10秒,0.1012,0.1056,0.1143,1.1588,0.0758
233,04/22/13 06时24分10秒,0.1012,0.1056,0.1143,1.158,0.0758
234,04/22/13 06时34分10秒,0.1012,0.1056,0.1143,1.1624,0.0758
235,04/22/13 06时44分10秒,0.1012,0.1049,0.1143,1.1471,0.0758
236,04/22/13 06时54分10秒,0.1012,0.1049,0.1143,1.1508,0.0758
237,04/22/13 07时04分10秒,0.1012,0.1056,0.1143,1.1399,0.0758
238,04/22/13 07时14分10秒,0.1005,0.1056,0.1143,1.1341,0.0758
239,04/22/13 07时24分10秒,0.1005,0.1056,0.1143,1.1544,0.0758
240,04/22/13 07时34分10秒,0.1012,0.1056,0.1143,1.1326,0.0758
241,04/22/13 07时44分10秒,0.1012,0.1049,0.115,1.1254,0.0751
242,04/22/13 07时54分10秒,0.1005,0.1049,0.115,1.1958,0.0758
243,04/22/13 08时04分10秒,0.1005,0.1049,0.115,1.1864,0.0751
244,04/22/13 08时14分10秒,0.1005,0.1049,0.115,1.2002,0.0758
245,04/22/13 08时24分10秒,0.1012,0.1049,0.1143,1.2503,0.0758
246,04/22/13 08时34分10秒,0.1005,0.1049,0.1143,1.2808,0.0758
247,04/22/13 08时44分10秒,0.1012,0.1056,0.1143,1.2227,0.0758
248,04/22/13 08时54分10秒,0.1012,0.1056,0.1143,1.2394,0.0758
249,04/22/13 09时04分10秒,0.1012,0.1049,0.1143,1.214,0.0751
250,04/22/13 09时14分10秒,0.1005,0.1049,0.1143,1.2626,0.0758
251,04/22/13 09时24分10秒,0.1012,0.1049,0.1143,1.275,0.0751
252,04/22/13 09时34分10秒,0.1005,0.1049,0.1143,1.3265,0.0758
253,04/22/13 09时44分10秒,0.1012,0.1049,0.1143,1.3374,0.0758
254,04/22/13 09时54分10秒,0.1012,0.1049,0.1143,1.3534,0.0758
255,04/22/13 10时04分10秒,0.1005,0.1049,0.1143,1.3345,0.0758
256,04/22/13 10时14分10秒,0.1005,0.1049,0.1143,1.3207,0.0766
257,04/22/13 10时24分10秒,0.1005,0.1056,0.1136,1.3222,0.0766
258,04/22/13 10时34分10秒,0.1012,0.1049,0.1143,1.3222,0.0758
259,04/22/13 10时44分10秒,0.1005,0.1049,0.1143,1.3425,0.0758
260,04/22/13 10时54分10秒,0.1005,0.1049,0.1143,1.3483,0.0758
261,04/22/13 11时04分10秒,0.1005,0.1049,0.1143,1.3382,0.0751
262,04/22/13 11时14分10秒,0.1005,0.1049,0.1143,1.3353,0.0758
263,04/22/13 11时24分10秒,0.1005,0.1049,0.1143,1.3273,0.0758
264,04/22/13 11时34分10秒,0.1005,0.1056,0.1143,1.3251,0.0766
265,04/22/13 11时44分10秒,0.1005,0.1056,0.1143,1.3345,0.0766
266,04/22/13 11时54分10秒,0.1005,0.1049,0.1143,1.3541,0.0766
267,04/22/13 12时04分10秒,0.1005,0.1049,0.1143,1.36,0.0758
268,04/22/13 12时14分10秒,0.1005,0.1049,0.115,1.3433,0.0758
269,04/22/13 12时24分10秒,0.1005,0.1049,0.115,1.3672,0.0758
270,04/22/13 12时34分10秒,0.1005,0.1049,0.1143,1.3672,0.0758
271,04/22/13 12时44分10秒,0.1005,0.1049,0.115,1.3679,0.0751
272,04/22/13 12时54分10秒,0.1005,0.1049,0.1143,1.3621,0.0758
273,04/22/13 13时04分10秒,0.1005,0.1049,0.1143,1.3563,0.0758
274,04/22/13 13时14分10秒,0.1005,0.1049,0.1143,1.3527,0.0766
275,04/22/13 13时24分10秒,0.1005,0.1049,0.115,1.3512,0.0758
276,04/22/13 13时34分10秒,0.1005,0.1049,0.1143,1.3621,0.0751
277,04/22/13 13时44分10秒,0.1005,0.1049,0.1143,1.3607,0.0758
278,04/22/13 13时54分10秒,0.1005,0.1056,0.1143,1.3709,0.0758
279,04/22/13 14时04分10秒,0.1005,0.1049,0.1143,1.36,0.0758
280,04/22/13 14时14分10秒,0.1005,0.1056,0.1143,1.3425,0.0758
281,04/22/13 14时24分10秒,0.1005,0.1049,0.1143,1.3331,0.0758
282,04/22/13 14时34分10秒,0.1005,0.1049,0.1143,1.3229,0.0751
283,04/22/13 14时44分10秒,0.1005,0.1049,0.1143,1.3098,0.0758
284,04/22/13 14时54分10秒,0.1005,0.1042,0.1143,1.2895,0.0758
285,04/22/13 15时04分10秒,0.1005,0.1049,0.1143,1.2902,0.0758
286,04/22/13 15时14分10秒,0.1005,0.1049,0.1143,1.2641,0.0766
287,04/22/13 15时24分10秒,0.1005,0.1042,0.1143,1.3004,0.0751
288,04/22/13 15时34分10秒,0.1005,0.1049,0.1143,1.336,0.0766
289,04/22/13 15时44分10秒,0.1005,0.1042,0.1143,1.3672,0.0758
290,04/22/13 15时54分10秒,0.1005,0.1049,0.1143,1.328,0.0758
291,04/22/13 16时04分10秒,0.1005,0.1049,0.1143,1.2452,0.0751
292,04/22/13 16时14分10秒,0.1005,0.1049,0.1143,1.2583,0.0758
293,04/22/13 16时24分10秒,0.1005,0.1049,0.1143,1.3033,0.0758
294,04/22/13 16时34分10秒,0.1005,0.1049,0.1143,1.2931,0.0751
295,04/22/13 16时44分10秒,0.1005,0.1042,0.1143,1.3382,0.0751
296,04/22/13 16时54分10秒,0.1005,0.1049,0.1136,1.3556,0.0751
297,04/22/13 17时04分10秒,0.1005,0.1042,0.1143,1.2525,0.0758
298,04/22/13 17时14分10秒,0.1005,0.1042,0.1143,1.2677,0.0758
299,04/22/13 17时24分10秒,0.1005,0.1049,0.1143,1.3817,0.0751
300,04/22/13 17时34分10秒,0.1005,0.1049,0.1143,1.3607,0.0758
301,04/22/13 17时44分10秒,0.1005,0.1042,0.1143,1.336,0.0758
302,04/22/13 17时54分10秒,0.1005,0.1049,0.1143,1.3091,0.0758
303,04/22/13 18时04分10秒,0.1005,0.1049,0.1143,1.2851,0.0758
304,04/22/13 18时14分10秒,0.1005,0.1042,0.1143,1.3011,0.0758
305,04/22/13 18时24分10秒,0.1005,0.1049,0.1143,1.3127,0.0758
306,04/22/13 18时34分10秒,0.1005,0.1042,0.1143,1.3004,0.0758
307,04/22/13 18时44分10秒,0.1005,0.1049,0.1143,1.3011,0.0758
308,04/22/13 18时54分10秒,0.1005,0.1042,0.1143,1.2931,0.0758
309,04/22/13 19时04分10秒,0.1012,0.1042,0.1143,1.2968,0.0758
310,04/22/13 19时14分10秒,0.1012,0.1049,0.1136,1.2474,0.0766
311,04/22/13 19时24分10秒,0.1012,0.1042,0.1143,1.1457,0.0758
312,04/22/13 19时34分10秒,0.1012,0.1042,0.1143,1.2031,0.0751
313,04/22/13 19时44分10秒,0.1012,0.1049,0.1136,1.3585,0.0751
314,04/22/13 19时54分10秒,0.1012,0.1042,0.1143,1.3055,0.0751
315,04/22/13 20时04分10秒,0.1012,0.1042,0.1143,1.2888,0.0751
316,04/22/13 20时14分10秒,0.1012,0.1042,0.1136,1.2713,0.0758
317,04/22/13 20时24分10秒,0.1012,0.1042,0.1136,1.283,0.0751
318,04/22/13 20时34分10秒,0.1012,0.1042,0.1143,1.296,0.0751
319,04/22/13 20时44分10秒,0.1012,0.1049,0.1136,1.32,0.0766
320,04/22/13 20时54分10秒,0.1012,0.1049,0.1143,1.291,0.0766
321,04/22/13 21时04分10秒,0.1012,0.1042,0.1143,1.2946,0.0773
322,04/22/13 21时14分10秒,0.1012,0.1042,0.1143,1.336,0.0758
323,04/22/13 21时24分10秒,0.1012,0.1042,0.1143,1.2924,0.0751
324,04/22/13 21时34分10秒,0.1012,0.1042,0.1143,1.2437,0.0758
325,04/22/13 21时44分10秒,0.1012,0.1049,0.1143,1.2989,0.0751
326,04/22/13 21时54分10秒,0.1012,0.1042,0.1143,1.3193,0.0751
327,04/22/13 22时04分10秒,0.1012,0.1042,0.1143,1.3157,0.0758
328,04/22/13 22时14分10秒,0.1012,0.1042,0.1143,1.2939,0.0751
329,04/22/13 22时24分10秒,0.1012,0.1034,0.1143,1.2975,0.0751
330,04/22/13 22时34分10秒,0.1012,0.1042,0.115,1.2939,0.0758
331,04/22/13 22时44分10秒,0.1012,0.1034,0.1143,1.2183,0.0758
332,04/22/13 22时54分10秒,0.1012,0.1042,0.1143,1.2888,0.0751
333,04/22/13 23时04分10秒,0.1012,0.1042,0.1143,1.3048,0.0758
334,04/22/13 23时14分10秒,0.1012,0.1042,0.1143,1.2866,0.0751
335,04/22/13 23时24分10秒,0.1012,0.1042,0.1143,1.3127,0.0751
336,04/22/13 23时34分10秒,0.1012,0.1042,0.115,1.2488,0.0751
337,04/22/13 23时44分10秒,0.1012,0.1042,0.1143,1.251,0.0758
338,04/22/13 23时54分10秒,0.1012,0.1042,0.1143,1.1079,0.0751
339,04/23/13 00时04分10秒,0.1012,0.1049,0.1143,1.105,0.0758
340,04/23/13 00时14分10秒,0.1012,0.1042,0.1143,1.1079,0.0751
341,04/23/13 00时24分10秒,0.1012,0.1042,0.1143,1.1341,0.0751
342,04/23/13 00时34分10秒,0.1012,0.1049,0.1143,1.1297,0.0758
343,04/23/13 00时44分10秒,0.1012,0.1049,0.1143,1.0941,0.0751
